2010-12-25 02:19:16 Notice: Notice (8): Undefined variable: data in [/Users/finngrimwood/Sites/MB/cake/libs/model/app_model.php, line 44]
2010-12-25 02:19:29 Notice: Notice (8): Undefined variable: data in [/Users/finngrimwood/Sites/MB/cake/libs/model/app_model.php, line 44]
2010-12-25 03:00:23 Notice: Notice (8): Undefined property: LoggableBehavior::$name in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 6]
2010-12-25 03:00:23 Notice: Notice (8): Undefined property: LoggableBehavior::$name in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 7]
2010-12-25 03:00:23 Notice: Notice (8): Undefined property: LoggableBehavior::$data in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 7]
2010-12-25 03:00:43 Notice: Notice (8): Undefined property: LoggableBehavior::$data in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 9]
2010-12-25 03:01:19 Notice: Notice (8): Undefined property: LoggableBehavior::$data in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 9]
2010-12-25 03:02:37 Notice: Notice (8): Undefined index: Loggable in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 9]
2010-12-27 19:29:07 Notice: Notice (8): Undefined property: PagesController::$Page in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 40]
2010-12-27 19:30:15 Notice: Notice (8): Undefined property: PagesController::$Model in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 40]
2010-12-27 19:46:29 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-27 19:46:29 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-27 19:46:44 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-27 19:46:44 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-27 19:47:32 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 14]
2010-12-27 19:47:32 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 15]
2010-12-27 20:59:06 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 16]
2010-12-27 20:59:06 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 20:59:46 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 16]
2010-12-27 20:59:46 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 21:00:11 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 16]
2010-12-27 21:00:11 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 21:02:50 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 16]
2010-12-27 21:02:50 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 21:03:08 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 16]
2010-12-27 21:03:08 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 21:03:42 Notice: Notice (8): Undefined index: ip_address in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 17]
2010-12-27 21:03:42 Notice: Notice (8): Undefined index: user_agent in [/Users/finngrimwood/Sites/MB/app/models/behaviors/loggable.php, line 18]
2010-12-27 21:11:29 Notice: Notice (8): Undefined variable: uses in [/Users/finngrimwood/Sites/MB/cake/libs/controller/app_controller.php, line 42]
2010-12-27 22:11:38 Notice: Notice (8): Undefined property: UsersController::$Session in [/Users/finngrimwood/Sites/MB/app/controllers/users_controller.php, line 23]
2010-12-27 22:34:00 Notice: Notice (8): Undefined property: View::$Html in [/Users/finngrimwood/Sites/MB/cake/libs/view/layouts/default.ctp, line 23]
2010-12-27 22:48:34 Notice: Notice (8): Undefined property: View::$Form in [/Users/finngrimwood/Sites/MB/app/views/users/add.ctp, line 2]
2010-12-27 22:55:04 Notice: Notice (8): Undefined variable: user in [/Users/finngrimwood/Sites/MB/app/views/users/auth.ctp, line 1]
2010-12-27 22:55:32 Notice: Notice (8): Undefined variable: user in [/Users/finngrimwood/Sites/MB/app/views/users/auth.ctp, line 1]
2010-12-27 23:16:55 Notice: Notice (8): Undefined variable: permissions in [/Users/finngrimwood/Sites/MB/app/views/users/index.ctp, line 4]
2010-12-27 23:17:05 Notice: Notice (8): Undefined index: Permissions in [/Users/finngrimwood/Sites/MB/app/views/helpers/permission.php, line 7]
2010-12-27 23:17:29 Notice: Notice (8): Undefined index: Permissions in [/Users/finngrimwood/Sites/MB/app/views/helpers/permission.php, line 7]
2010-12-27 23:20:24 Notice: Notice (8): Undefined variable: user in [/Users/finngrimwood/Sites/MB/app/controllers/users_controller.php, line 10]
2010-12-27 23:24:05 Notice: Notice (8): Undefined variable: helpers in [/Users/finngrimwood/Sites/MB/app/controllers/users_controller.php, line 10]
2010-12-27 23:33:46 Notice: Notice (8): Undefined variable: controller in [/Users/finngrimwood/Sites/MB/app/controllers/components/permission.php, line 22]
2010-12-27 23:33:46 Notice: Notice (8): Trying to get property of non-object in [/Users/finngrimwood/Sites/MB/app/controllers/components/permission.php, line 22]
2010-12-27 23:34:03 Notice: Notice (8): Undefined variable: controller in [/Users/finngrimwood/Sites/MB/app/controllers/components/permission.php, line 23]
2010-12-27 23:34:03 Notice: Notice (8): Trying to get property of non-object in [/Users/finngrimwood/Sites/MB/app/controllers/components/permission.php, line 23]
